name,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,emotion

03a01Fa,3.118817e+01,1.525596e-01,2.776650e+01,3.141210e+01,3.634034e+01,8.573841e+00,3.460895e+01,1.103686e+01,9.183480e+01,4.338923e+01,6.968010e-01,8.630781e-01,2.147675e-01,5.094048e-01,1.128679e+00,9.139111e-01,1.242011e+01,6.053562e+00,1.586289e+01,7.684804e+00,4.466950e-01,1.224715e+00,1.489524e+01,1.163175e+00,5.973326e+00,2.630625e+00,1.261804e+01,1.188913e+00,7.683237e-01,1.458621e+01,3.863107e-02,8.441982e-01,1.450218e+00,9.276141e-01,5.309995e+00,7.542320e-01,7.979724e+00,1.123519e+00,2.114009e+01,5.051978e-01,6.228352e+02,2.624833e-01,1.391032e+03,1.247552e-01,-9.922537e+01,-9.034856e-01,1.608449e+03,1.072391e-01,1.005098e+03,2.488338e-01,-1.031430e+02,-8.145370e-01,2.586810e+03,8.204327e-02,9.175346e+02,2.866043e-01,-1.058935e+02,-7.691156e-01,-1.388928e+01,-6.104954e-01,2.321326e+01,3.522802e-01,1.955990e-02,1.084309e+00,-1.293171e-02,-1.046593e+00,6.621965e-01,9.991851e-01,2.388361e+01,4.369793e-01,8.593407e+00,2.024981e+00,1.305341e+01,1.314847e+00,-1.895496e+00,-5.273767e+00,-5.667033e+00,1.615102e+01,-1.235102e-02,1.089674e-02,2.189219e-01,4.255319e+00,3.278689e+00,1.566667e-01,8.459051e-02,1.085714e-01,3.642157e-02,-2.164793e+01,happy
03a01Nc,2.502294e+01,1.485404e-01,2.063707e+01,2.511848e+01,2.866035e+01,8.023287e+00,5.401492e+01,3.858381e+01,2.707466e+01,5.930338e-01,8.263460e-01,8.867121e-01,1.363303e-01,7.300365e-01,1.337338e+00,1.201008e+00,1.707623e+01,8.859368e+00,1.724162e+01,1.138676e+01,5.698877e-01,9.864557e-01,2.328921e+01,7.989776e-01,2.449339e+00,5.345325e+00,1.432097e+01,9.521138e-01,1.265252e+00,7.879268e+00,4.146376e-02,7.585673e-01,1.869689e+00,1.004700e+00,4.106911e+00,7.332609e-01,4.518946e+00,1.003468e+00,2.406944e+01,3.652260e-01,4.598354e+02,1.811040e-01,1.405202e+03,1.532483e-01,-1.159644e+02,-7.809237e-01,1.433769e+03,8.210021e-02,1.021147e+03,1.628545e-01,-1.215905e+02,-6.953576e-01,2.428050e+03,6.169378e-02,9.220656e+02,3.391729e-01,-1.246116e+02,-6.520149e-01,-1.488199e+01,-4.211690e-01,2.463125e+01,2.325060e-01,1.116188e-02,1.620742e+00,-1.803376e-02,-6.466528e-01,7.683008e-01,5.354233e-01,3.560465e+01,2.328787e-01,1.047406e+00,1.217131e+01,2.007848e+01,7.336659e-01,6.671423e-01,1.554933e+01,-1.031661e+01,2.166210e+01,-2.005756e-02,7.848731e-03,4.507474e-01,6.250000e+00,3.870968e+00,1.016667e-01,5.520165e-02,1.157143e-01,4.981599e-02,-1.801002e+01,neutral
03a01Wa,3.429232e+01,1.020672e-01,3.050409e+01,3.358477e+01,3.734362e+01,6.839527e+00,3.554802e+01,5.873569e+00,5.734786e+00,2.547336e+01,1.163485e+00,8.761480e-01,2.012354e-01,8.343500e-01,2.105467e+00,1.904232e+00,2.347296e+01,1.191725e+01,2.340689e+01,1.253582e+01,7.381893e-01,1.081888e+00,1.054870e+01,1.565570e+00,-6.946343e+00,-2.763684e+00,9.013171e+00,1.720972e+00,-4.248323e+00,-3.115621e+00,3.858063e-02,7.299349e-01,1.680517e+00,7.052914e-01,4.126108e+00,1.070745e+00,1.020151e+01,1.127944e+00,1.197336e+01,6.358137e-01,7.153378e+02,3.492233e-01,1.398139e+03,1.401294e-01,-1.033285e+02,-8.879842e-01,1.642731e+03,1.093693e-01,1.209656e+03,3.198503e-01,-9.752498e+01,-9.428610e-01,2.566353e+03,6.564690e-02,1.030422e+03,3.269697e-01,-1.004548e+02,-8.867130e-01,-3.418939e+00,-2.131876e+00,1.522879e+01,3.925388e-01,4.655699e-02,5.455513e-01,1.243814e-03,1.314431e+01,1.088180e+00,7.675907e-01,1.781720e+01,5.839647e-01,-1.459233e+01,-1.437360e+00,1.080890e+01,1.515894e+00,-8.435194e+00,-1.931594e+00,-9.979872e-01,1.238558e+01,1.466927e-02,1.239442e-02,3.883664e-01,4.838710e+00,3.314917e+00,1.500000e-01,7.302967e-02,1.114286e-01,6.033918e-02,-1.785531e+01,anger
03a02Fc,3.757657e+01,1.086065e-01,3.408350e+01,3.737119e+01,4.123338e+01,7.149876e+00,3.014602e+01,1.491934e+01,3.830285e+01,2.092408e+01,8.886739e-01,8.622057e-01,1.748866e-01,6.720755e-01,1.595694e+00,1.420808e+00,1.661076e+01,7.888470e+00,1.722933e+01,3.991487e+00,5.300599e-01,1.135250e+00,1.121261e+01,1.142727e+00,4.153587e+00,3.137720e+00,5.891966e+00,3.133577e+00,-2.384211e+00,-7.303014e+00,3.818390e-02,1.061230e+00,1.193799e+00,8.256375e-01,8.213586e+00,5.219967e-01,1.051359e+01,9.213011e-01,1.657950e+01,5.471418e-01,7.144030e+02,3.048502e-01,1.350720e+03,1.573197e-01,-8.447446e+01,-1.026194e+00,1.615911e+03,1.129344e-01,1.076953e+03,3.193274e-01,-8.216026e+01,-9.880612e-01,2.567865e+03,6.387864e-02,8.506094e+02,1.988832e-01,-8.437020e+01,-9.436997e-01,-1.284034e+01,-7.082473e-01,2.174214e+01,4.216354e-01,3.530683e-02,8.229629e-01,-3.291573e-03,-4.468520e+00,6.985364e-01,9.208487e-01,1.495671e+01,8.154475e-01,4.839253e+00,3.159861e+00,7.941091e+00,2.669072e+00,-3.891581e+00,-5.311664e+00,-5.103196e+00,1.592929e+01,-7.576474e-03,1.558521e-02,2.436823e-01,4.522613e+00,2.577320e+00,2.460000e-01,2.109597e-01,9.999999e-02,4.203173e-02,-1.806222e+01,happy
03a02Nc,2.504019e+01,1.166548e-01,2.122521e+01,2.619867e+01,2.772522e+01,6.500011e+00,1.946138e+01,1.074461e+01,2.757285e+01,6.934971e+00,8.998779e-01,7.573211e-01,2.068439e-01,7.690226e-01,1.618215e+00,1.411371e+00,1.661038e+01,7.590389e+00,2.103891e+01,1.389346e+01,6.813424e-01,9.255334e-01,2.260441e+01,7.672488e-01,8.121778e+00,1.597548e+00,2.032505e+01,9.145048e-01,3.586776e+00,3.474056e+00,2.758590e-02,6.866423e-01,1.901177e+00,7.856873e-01,4.435600e+00,5.011818e-01,-4.290981e-01,-7.230309e+00,2.417068e+01,3.047297e-01,4.301563e+02,2.415793e-01,1.251034e+03,1.000163e-01,-8.712259e+01,-1.046539e+00,1.445193e+03,1.193872e-01,9.080446e+02,2.227718e-01,-9.693336e+01,-8.569499e-01,2.424092e+03,4.983141e-02,8.396248e+02,2.772474e-01,-1.001794e+02,-8.042819e-01,-1.557169e+01,-4.557016e-01,2.503267e+01,2.870589e-01,1.048886e-03,2.687016e+01,-1.188671e-02,-1.176129e+00,9.084555e-01,6.446730e-01,3.140783e+01,4.457824e-01,7.176943e+00,2.050887e+00,2.728378e+01,7.633266e-01,5.601758e+00,2.211560e+00,-1.327298e+01,2.382409e+01,-3.508548e-02,5.546608e-03,4.441578e-01,6.338028e+00,3.649635e+00,1.480000e-01,1.301384e-01,8.666667e-02,2.624669e-02,-1.610983e+01,neutral
03a02Ta,2.319929e+01,6.319071e-02,2.132669e+01,2.355667e+01,2.474241e+01,3.415720e+00,1.402737e+01,8.320468e+00,1.526557e+01,7.346757e+00,7.875355e-01,6.707224e-01,2.318463e-01,7.495934e-01,1.296938e+00,1.065092e+00,1.403388e+01,8.596282e+00,1.137294e+01,5.534624e+00,5.197405e-01,8.170893e-01,1.606231e+01,1.234697e+00,1.074070e+01,8.592878e-01,1.757396e+01,1.113353e+00,1.241073e+00,9.801440e+00,3.806768e-02,6.006579e-01,1.405096e+00,8.812348e-01,5.035095e+00,3.146893e-01,2.011291e+00,9.055379e-01,2.855118e+01,1.720706e-01,4.743568e+02,3.174631e-01,1.267369e+03,1.003306e-01,-1.294060e+02,-6.810511e-01,1.465660e+03,1.636307e-01,9.509411e+02,2.533758e-01,-1.363880e+02,-5.819094e-01,2.420819e+03,8.410177e-02,8.424685e+02,3.141260e-01,-1.382155e+02,-5.563115e-01,-1.890833e+01,-3.665162e-01,2.757581e+01,2.879514e-01,-1.952624e-02,-1.028284e+00,-1.168804e-02,-1.420490e+00,7.297379e-01,6.420835e-01,3.123106e+01,4.093125e-01,1.534433e+01,4.088264e-01,2.879217e+01,7.137565e-01,6.890585e+00,1.868753e+00,-6.580761e+00,1.585232e+01,-2.073565e-02,2.861863e-03,4.270048e-01,6.395349e+00,2.994012e+00,1.140000e-01,6.437390e-02,1.650000e-01,1.265899e-01,-1.805329e+01,sad
03a02Wb,3.494422e+01,1.132497e-01,3.157592e+01,3.420145e+01,3.974970e+01,8.173782e+00,4.850519e+01,1.378322e+00,3.876006e+01,2.364365e+01,1.021844e+00,7.653839e-01,2.631161e-01,8.085378e-01,1.786942e+00,1.523826e+00,1.959330e+01,9.834292e+00,1.781419e+01,8.404669e+00,5.643778e-01,9.960945e-01,7.414867e+00,2.111601e+00,3.369393e+00,4.775764e+00,1.292148e+01,1.553982e+00,4.849616e-01,3.989525e+01,3.389375e-02,7.458096e-01,1.462776e+00,8.471476e-01,4.809745e+00,8.148132e-01,1.303384e+01,7.370967e-01,1.260892e+01,6.387921e-01,7.259098e+02,3.216047e-01,1.391128e+03,2.105498e-01,-1.068198e+02,-8.176612e-01,1.634449e+03,1.197778e-01,9.830123e+02,2.653742e-01,-1.033546e+02,-8.210666e-01,2.570102e+03,6.251740e-02,9.096607e+02,2.409901e-01,-1.018618e+02,-8.466164e-01,-5.707180e+00,-1.335283e+00,1.419449e+01,6.191034e-01,3.990447e-02,6.178590e-01,3.187449e-03,5.217109e+00,7.847737e-01,7.521545e-01,1.113123e+01,1.282100e+00,6.733340e-01,2.606713e+01,1.825707e+01,1.221610e+00,-3.952305e+00,-5.453755e+00,-5.026937e+00,1.570566e+01,-1.636903e-03,1.728182e-02,3.445633e-01,5.687204e+00,4.368932e+00,1.111111e-01,6.081747e-02,1.200000e-01,2.672612e-02,-1.962487e+01,anger
03a02Wc,3.826586e+01,1.000735e-01,3.446864e+01,3.916516e+01,4.160187e+01,7.133232e+00,2.992631e+01,1.986426e+01,3.902584e+01,8.647647e+00,9.651061e-01,8.945916e-01,2.125069e-01,7.135745e-01,1.550522e+00,1.338015e+00,2.119579e+01,9.423182e+00,2.630061e+01,1.655672e+01,6.050581e-01,1.239257e+00,1.045519e+01,1.285213e+00,-8.667299e+00,-2.060996e+00,8.155321e+00,1.822261e+00,-5.791186e+00,-3.677368e+00,4.057810e-02,1.063141e+00,1.606258e+00,8.952368e-01,4.840545e+00,6.045066e-01,1.121308e+01,9.748529e-01,9.223415e+00,6.996114e-01,8.249062e+02,2.292019e-01,1.234380e+03,1.855578e-01,-9.276471e+01,-9.584908e-01,1.735941e+03,9.643391e-02,1.169381e+03,2.741029e-01,-8.394117e+01,-1.028428e+00,2.537606e+03,5.436428e-02,9.805468e+02,2.309109e-01,-8.399252e+01,-1.028383e+00,-1.943787e+00,-2.650429e+00,1.052559e+01,6.675553e-01,5.062296e-02,5.749382e-01,6.800289e-03,3.126824e+00,7.646261e-01,1.032962e+00,1.070426e+01,1.178103e+00,-1.626711e+01,-1.031059e+00,1.033582e+01,1.581914e+00,-1.135624e+01,-1.980092e+00,-6.030575e+00,1.691996e+01,1.891041e-02,1.536999e-02,4.248927e-01,5.405406e+00,4.195804e+00,1.350000e-01,8.864724e-02,7.000000e-02,3.162277e-02,-1.990873e+01,anger
03a04Ad,3.734101e+01,5.269177e-02,3.607986e+01,3.743769e+01,3.903237e+01,2.952503e+00,1.818821e+02,1.539232e+02,2.161153e+01,5.935969e+00,1.066605e+00,7.193620e-01,4.697736e-01,8.044705e-01,1.846429e+00,1.376656e+00,2.026107e+01,1.036614e+01,2.295569e+01,1.696238e+01,6.460121e-01,1.056774e+00,9.482896e+00,1.702905e+00,2.249382e+00,6.075182e+00,3.697749e+00,4.421957e+00,-3.312710e+00,-3.401230e+00,3.920612e-02,8.495048e-01,1.582549e+00,4.917455e-01,6.994483e+00,4.458104e-01,1.025710e+01,9.012213e-01,1.777748e+01,3.901761e-01,7.496603e+02,2.222153e-01,1.400544e+03,2.116478e-01,-9.610408e+01,-8.643185e-01,1.672852e+03,1.350173e-01,1.140678e+03,2.369627e-01,-9.439272e+01,-8.449031e-01,2.571680e+03,7.525245e-02,9.782201e+02,2.539147e-01,-9.724626e+01,-7.922853e-01,-7.373772e+00,-1.221587e+00,1.853941e+01,6.055512e-01,4.386019e-02,4.527947e-01,-3.545345e-03,-3.599600e+00,7.490784e-01,7.434764e-01,1.384294e+01,1.047635e+00,7.452905e-01,1.567727e+01,1.816442e+00,8.537763e+00,-6.984250e+00,-1.328537e+00,-2.956374e+00,1.342006e+01,9.788032e-03,8.621801e-03,5.616489e-01,4.026845e+00,5.555556e+00,9.625000e-02,5.023383e-02,5.555555e-02,2.671292e-02,-1.852700e+01,fear
